epoch,seed,forget_degradation_percent,retain_preservation_percent,original_forget_mean,original_retain_mean,unlearned_forget_mean,unlearned_retain_mean
100,0,6.143939725971544,107.88119908215243,-0.5422063186606684,1.320526913382038,-0.575519148069589,1.424600268359079
100,1,6.81090142371085,100.27949026161285,-0.5324716660222841,1.461707983487986,-0.5687377863042528,1.4657933149550526
100,123,12.214053119701651,99.5318965858297,-0.5511041936233599,1.4355291674195958,-0.6184163525774206,1.4288094063754941
100,42,6.46281984591541,97.8769428451171,-0.4999559579838401,1.46878048064535,-0.5322672108572563,1.4375974315614855
100,768,-14.279699239811436,108.98915322394996,-0.5739444215112364,1.3310138438698262,-0.4919868843157562,1.4506607177272708
10,0,5.280947889695493,118.70687823712807,-0.5422063186606684,1.320526913382038,-0.5708399518037746,1.5675562751569216
10,1,-90.63961503700723,-202.743354437108,-0.5324716660222841,1.461707983487986,-0.049841397758546874,-2.963515797798552
10,123,-89.98629261951872,-217.19206067714904,-0.5511041936233599,1.4355291674195958,-0.055185961311004283,-3.1178553803401408
10,42,6.043925768788881,96.19117777518308,-0.4999559579838401,1.46878048064535,-0.5301729249610208,1.4128372432647571
10,768,-11.017798111461373,114.06779661423776,-0.5739444215112364,1.3310138438698262,-0.5107083838771335,1.5182581643327815
150,0,8.780609484997457,102.96647149879259,-0.5422063186606684,1.320526913382038,-0.5898153381052426,1.3596999679014017
150,1,10.172664786134112,100.6441280034417,-0.5324716660222841,1.461707983487986,-0.5866382236878747,1.471123253938175
150,123,-85.28451281902375,-12.234936520555332,-0.5511041936233599,1.4355291674195958,-0.08109766696646815,-0.175636082367844
150,42,-79.76147824576051,-12.57994537233476,-0.4999559579838401,1.46878048064535,-0.10118369531817589,-0.18477178210470097
150,768,-85.62639488119541,-13.349294397669501,-0.5739444215112364,1.3310138438698262,-0.08249650474943243,-0.1776809564919202
25,0,-88.11914434596908,-16.003063151303976,-0.5422063186606684,1.320526913382038,-0.06441875006710894,-0.2113247558784927
25,1,-93.14950643592977,-214.96335417627813,-0.5324716660222841,1.461707983487986,-0.03647693721135412,-3.1421365095682128
25,123,-3.499124575943169,88.23854240563566,-0.5511041936233599,1.4355291674195958,-0.5318203713452315,1.2666900131388086
25,42,8.20362485966893,95.80416232565851,-0.4999559579838401,1.46878048064535,-0.5409704692403984,1.4071528358850582
25,768,-85.72769571043536,-12.148864816113534,-0.5739444215112364,1.3310138438698262,-0.08191509429106517,-0.16170307257550165
50,0,0.7958780812328073,98.57096235323432,-0.5422063186606684,1.320526913382038,-0.5465216199059479,1.301656086654136
50,1,-5.1070513008302685,103.1543060350904,-0.5324716660222841,1.461707983487986,-0.5052780648761405,1.5078147266265458
50,123,6.432419413738454,104.15450651871225,-0.5511041936233599,1.4355291674195958,-0.5865535267639157,1.4951683202580588
50,42,5.457390491002632,100.76981263181197,-0.4999559579838401,1.46878048064535,-0.5272405068940513,1.4800873383189466
50,768,-14.068592916390655,100.57142640477987,-0.5739444215112364,1.3310138438698262,-0.49319851728248726,1.338619608424974
75,0,-93.89564980559875,-228.8022897916447,-0.5422063186606684,1.320526913382038,-0.033098172467218405,-3.0213958151330322
75,1,-0.9458309504955265,102.27412770469064,-0.5324716660222841,1.461707983487986,-0.5274353842024262,1.4949490897021613
75,123,-9.303585561334595,102.04973957161867,-0.5511041936233599,1.4355291674195958,-0.4998317434375076,1.4649537768263232
75,42,-91.74108413542105,-205.93596444384815,-0.4999559579838401,1.46878048064535,-0.04129094192983508,-3.0247472483799895
75,768,-5.341479928294583,107.75383352770267,-0.5739444215112364,1.3310138438698262,-0.5432872954366472,1.434218441554169
